año,trimestre,indice_salarios
2000,Q1,60.3
2000,Q2,67.5
2000,Q3,60.9
2000,Q4,75.8
2001,Q1,62.1
2001,Q2,68.7
2001,Q3,63.4
2001,Q4,78.4
2002,Q1,64.1
2002,Q2,70.8
2002,Q3,64.6
2002,Q4,80.2
2003,Q1,64.9
2003,Q2,72.1
2003,Q3,66.3
2003,Q4,82.4
2004,Q1,66.6
2004,Q2,74.2
2004,Q3,68.2
2004,Q4,84.6
2005,Q1,68.7
2005,Q2,76.7
2005,Q3,69.7
2005,Q4,87.2
2006,Q1,72
2006,Q2,79
2006,Q3,71.8
2006,Q4,89.5
2007,Q1,73.5
2007,Q2,81
2007,Q3,73.4
2007,Q4,91.7
2008,Q1,77.1
2008,Q2,83
2008,Q3,77.7
2008,Q4,95.1
2009,Q1,77.3
2009,Q2,86.3
2009,Q3,78.4
2009,Q4,98.8
2010,Q1,80.4
2010,Q2,89.6
2010,Q3,80.9
2010,Q4,100.7
2011,Q1,82.4
2011,Q2,92.2
2011,Q3,82
2011,Q4,102.6
2012,Q1,84.2
2012,Q2,92.9
2012,Q3,83.9
2012,Q4,105.2
2013,Q1,85.6
2013,Q2,94.8
2013,Q3,85.7
2013,Q4,107.5
2014,Q1,87.1
2014,Q2,95.7
2014,Q3,86.8
2014,Q4,108.4
2015,Q1,88.6
2015,Q2,97.1
2015,Q3,87.7
2015,Q4,109.4
2016,Q1,88.5
2016,Q2,97.7
2016,Q3,87.8
2016,Q4,109.5
2017,Q1,89.7
2017,Q2,97.1
2017,Q3,88.2
2017,Q4,109.5
2018,Q1,89.5
2018,Q2,98.6
2018,Q3,89.1
2018,Q4,110.6
2019,Q1,91.4
2019,Q2,99.9
2019,Q3,89.9
2019,Q4,111.6
2020,Q1,91.8
2020,Q2,106
2020,Q3,90.2
2020,Q4,113
2021,Q1,92.9
2021,Q2,102.5
2021,Q3,91.4
2021,Q4,113.2
2022,Q1,93
2022,Q2,103.2
2022,Q3,91.6
2022,Q4,114.4
2023,Q1,96
2023,Q2,105.1
2023,Q3,94.6
2023,Q4,118.3
2024,Q1,97.5
2024,Q2,109.4
2024,Q3,98.6
2024,Q4,122
2025,Q1,101.4
2025,Q2,112.6
