año,trimestre,tipo_interes_10y
1991,Q2,13.195573333333334
1991,Q3,13.267513333333333
1991,Q4,12.883486666666666
1992,Q1,12.619793333333334
1992,Q2,12.79003
1992,Q3,13.807283333333332
1992,Q4,13.848106666666666
1993,Q1,13.13156
1993,Q2,12.414523333333333
1993,Q3,10.10982
1993,Q4,9.093493333333333
1994,Q1,8.961046666666666
1994,Q2,9.631643333333333
1994,Q3,11.38769
1994,Q4,12.0968
1995,Q1,12.738496666666666
1995,Q2,12.69579
1995,Q3,11.80411
1995,Q4,11.587066666666667
1996,Q1,10.546096666666667
1996,Q2,9.868373333333333
1996,Q3,9.360106666666667
1996,Q4,7.8303666666666665
1997,Q1,7.53606
1997,Q2,7.374366666666667
1997,Q3,6.510496666666667
1997,Q4,6.022513333333333
1998,Q1,5.3356433333333335
1998,Q2,5.144246666666667
1998,Q3,4.761023333333333
1998,Q4,4.288313333333333
1999,Q1,4.0824533333333335
1999,Q2,4.334873333333333
1999,Q3,5.11798
1999,Q4,5.3757
2000,Q1,5.68374
2000,Q2,5.546683333333333
2000,Q3,5.5954266666666665
2000,Q4,5.474866666666666
2001,Q1,5.165753333333333
2001,Q2,5.376666666666667
2001,Q3,5.2755833333333335
2001,Q4,4.937143333333333
2002,Q1,5.250846666666667
2002,Q2,5.35509
2002,Q3,4.85206
2002,Q4,4.680226666666667
2003,Q1,4.23897
2003,Q2,4.056383333333334
2003,Q3,4.2466099999999996
2003,Q4,4.4508
2004,Q1,4.27604
2004,Q2,4.462606666666667
2004,Q3,4.322603333333333
2004,Q4,3.97345
2005,Q1,3.7423533333333334
2005,Q2,3.53696
2005,Q3,3.39147
2005,Q4,3.550926666666667
2006,Q1,3.72124
2006,Q2,4.26708
2006,Q3,4.171
2006,Q4,4.025886666666667
2007,Q1,4.239703333333334
2007,Q2,4.543963333333333
2007,Q3,4.63915
2007,Q4,4.52622
2008,Q1,4.3769366666666665
2008,Q2,4.78012
2008,Q3,4.9042
2008,Q4,4.66378
2009,Q1,4.538483333333334
2009,Q2,4.4591
2009,Q3,4.192186666666667
2009,Q4,4.05508
2010,Q1,4.023423333333334
2010,Q2,4.027566666666667
2010,Q3,3.896726666666667
2010,Q4,4.195763333333333
2011,Q1,4.780026666666667
2011,Q2,4.80417
2011,Q3,5.493173333333333
2011,Q4,6.61364
2012,Q1,5.710606666666666
2012,Q2,5.78761
2012,Q3,5.690523333333333
2012,Q4,4.781963333333334
2013,Q1,4.446983333333334
2013,Q2,4.20684
2013,Q3,4.45949
2013,Q4,4.15223
2014,Q1,3.63883
2014,Q2,3.0904
2014,Q3,2.6088133333333334
2014,Q4,2.2346866666666667
2015,Q1,1.5177333333333334
2015,Q2,1.7895666666666667
2015,Q3,1.9336133333333332
2015,Q4,1.61496
2016,Q1,1.48932
2016,Q2,1.4738499999999999
2016,Q3,1.22321
2016,Q4,1.7598099999999999
2017,Q1,2.2479066666666663
2017,Q2,2.168146666666667
2017,Q3,2.150253333333333
2017,Q4,1.88574
2018,Q1,2.0101466666666665
2018,Q2,2.232403333333333
2018,Q3,2.9208133333333333
2018,Q4,3.278016666666667
2019,Q1,2.7574566666666667
2019,Q2,2.5151133333333333
2019,Q3,1.3198766666666666
2019,Q4,1.2132
2020,Q1,1.2605566666666668
2020,Q2,1.6721233333333334
2020,Q3,1.0697966666666667
2020,Q4,0.67069
2021,Q1,0.6366866666666666
2021,Q2,0.8854433333333334
2021,Q3,0.7173033333333334
2021,Q4,1.00397
2022,Q1,1.6646333333333334
2022,Q2,3.02004
2022,Q3,3.59812
2022,Q4,4.3437833333333336
2023,Q1,4.250943333333334
2023,Q2,4.20688
2023,Q3,4.297066666666667
2023,Q4,4.3778266666666665
2024,Q1,3.792996666666667
2024,Q2,3.88045
2024,Q3,3.692536666666667
2024,Q4,3.4635966666666667
2025,Q1,3.712826666666667
2025,Q2,3.6138033333333333
2025,Q3,3.537955
