"","anio","trimestre","exportaciones","importaciones"
"1","1996","Q1",732607.7,640143.1
"2","1996","Q2",760896.8,598668.2
"3","1996","Q3",735671.2,557056.8
"4","1996","Q4",745872.6,610559.8
"5","1997","Q1",719416.5,621838.4
"6","1997","Q2",816035.7,682623.1
"7","1997","Q3",815573.2,664271.2
"8","1997","Q4",814598.6,710433
"9","1998","Q1",797744.6,734997.8
"10","1998","Q2",865750.7,740448.2
"11","1998","Q3",830179.9,679200.1
"12","1998","Q4",794832.5,719342.4
"13","1999","Q1",744309.4,716428.1
"14","1999","Q2",828242,751068.6
"15","1999","Q3",830045.7,730962.6
"16","1999","Q4",869124.5,822151.4
"17","2000","Q1",889321.2,882401.4
"18","2000","Q2",955953.6,925014.9
"19","2000","Q3",975826.5,901190.6
"20","2000","Q4",996957.2,982837.8
"21","2001","Q1",975856,973257.4
"22","2001","Q2",1056164.8,1007101.3
"23","2001","Q3",994188.4,908187.1
"24","2001","Q4",987769.2,927744.2
"25","2002","Q1",932949.7,942136.8
"26","2002","Q2",1017966.5,981957.4
"27","2002","Q3",999107.7,909653.1
"28","2002","Q4",1004744.1,998359.2
"29","2003","Q1",937086,988418.6
"30","2003","Q2",970830.6,964442.1
"31","2003","Q3",992892.8,909725.2
"32","2003","Q4",999118.6,961100.7
"33","2004","Q1",963614,987035
"34","2004","Q2",1082425.9,1036544.2
"35","2004","Q3",1073698.6,994218.5
"36","2004","Q4",1064652.5,1063884.8
"37","2005","Q1",1010062.6,1059163.2
"38","2005","Q2",1138143.8,1120134.3
"39","2005","Q3",1121064.4,1085715.2
"40","2005","Q4",1140136.5,1162109.4
"41","2006","Q1",1133517.6,1243200.2
"42","2006","Q2",1247101.4,1258516.6
"43","2006","Q3",1213273.8,1221527.4
"44","2006","Q4",1282815.4,1306471.8
"45","2007","Q1",1257446.4,1340156.2
"46","2007","Q2",1359931.8,1346011.9
"47","2007","Q3",1331533.2,1306445.2
"48","2007","Q4",1353131.9,1375195.6
"49","2008","Q1",1309641.5,1377727
"50","2008","Q2",1392610.3,1402996.5
"51","2008","Q3",1339236.6,1356181.3
"52","2008","Q4",1233419.9,1281745.4
"53","2009","Q1",994670.5,1089709.4
"54","2009","Q2",1052969.3,1052885.4
"55","2009","Q3",1091386.3,1074718.5
"56","2009","Q4",1095701.3,1129028.6
"57","2010","Q1",1067693.2,1190535.2
"58","2010","Q2",1237282.8,1297584.6
"59","2010","Q3",1250053.2,1299540.2
"60","2010","Q4",1283009.7,1404672.2
"61","2011","Q1",1233697,1405267
"62","2011","Q2",1369161.4,1423491.3
"63","2011","Q3",1350050.4,1369827
"64","2011","Q4",1330029.9,1352098.1
"65","2012","Q1",1304919.1,1351942.3
"66","2012","Q2",1411367.4,1332815.8
"67","2012","Q3",1390320.5,1299770
"68","2012","Q4",1377028.8,1286332.2
"69","2013","Q1",1287882.3,1257116.4
"70","2013","Q2",1410015.9,1258714.5
"71","2013","Q3",1399076,1252318.2
"72","2013","Q4",1384984.1,1262314
"73","2014","Q1",1311664.4,1245778.9
"74","2014","Q2",1430167.6,1284320.6
"75","2014","Q3",1430694.4,1267554.2
"76","2014","Q4",1446179.9,1273308
"77","2015","Q1",1355373.2,1284774
"78","2015","Q2",1516065.2,1355806.4
"79","2015","Q3",1465126.2,1291461.5
"80","2015","Q4",1480404.8,1315581
"81","2016","Q1",1364391.2,1269882.4
"82","2016","Q2",1518122,1325389
"83","2016","Q3",1487819.4,1285430.3
"84","2016","Q4",1521396.6,1363451.9
"85","2017","Q1",1492404,1411108.8
"86","2017","Q2",1612219.8,1450831
"87","2017","Q3",1584686,1394096.7
"88","2017","Q4",1620149.6,1488880.7
"89","2018","Q1",1542815,1471343.2
"90","2018","Q2",1695858.2,1533384.3
"91","2018","Q3",1650794,1480421
"92","2018","Q4",1683950.4,1586512.6
"93","2019","Q1",1569737.5,1488789.7
"94","2019","Q2",1728997,1531536.8
"95","2019","Q3",1696550.6,1472705.7
"96","2019","Q4",1704990.5,1513278
"97","2020","Q1",1466255.8,1378616.8
"98","2020","Q2",1174186.5,1062397.2
"99","2020","Q3",1513359.4,1238642
"100","2020","Q4",1602900.6,1373191.2
"101","2021","Q1",1511835.2,1413767
"102","2021","Q2",1727076.5,1543526.8
"103","2021","Q3",1779886.6,1614367
"104","2021","Q4",1873272.4,1869091
"105","2022","Q1",1884359.8,2042426.4
"106","2022","Q2",2185346.8,2225819.6
"107","2022","Q3",2162533.1,2335239.5
"108","2022","Q4",2183435.4,2248141.5
"109","2023","Q1",2064441.2,2138232.7
"110","2023","Q2",2202320.4,2084638.2
"111","2023","Q3",2138149.2,1970001.7
"112","2023","Q4",2183032.6,2041897.4
"113","2024","Q1",2077553.5,1963390.3
"114","2024","Q2",2221347,2011448
"115","2024","Q3",1781520.3,1645883.6
"116","2024","Q4",1445797.4,1367576
"117","2025","Q1",1050917.1,1025956.2
"118","2025","Q2",739482.9,673042.2
