"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"GDP.billion.currency.units",1,106,379.066037735849,58.731147470474,393.645,382.91988372093,54.70794,237.44,480.03,242.59,-0.596440537871502,-0.607556177724806,5.7044733218091
"Consumer.Price.Index..CPI.",2,106,89.7358490566038,12.473126836594,91.3,90.1395348837209,15.12252,68,114.1,46.1,-0.231208722303049,-1.30596749832265,1.21149717557727
"Indice_empleo",3,90,90.8755555555556,6.00343181089907,90.85,91.0055555555556,5.55975,76,105.6,29.6,-0.141705361657461,-0.136049156026132,0.632817276665011
"EMPLEO",4,74,50.0704200405405,1.11836202192109,50.074679,50.0952951,1.21502776499999,47.721003,52.518695,4.797692,-0.114578281497087,-0.826000426316034,0.130006944309091
"DESEMPLEO",5,74,9.47200924324324,2.10216202187134,9.2467295,9.44779675,2.5244734284,5.706748,13.731145,8.024397,0.132025635590495,-1.09130927800793,0.244371371299476
"Indice_salarios",6,90,86.2355555555555,13.7494376686737,87.15,86.0458333333333,14.67774,60.3,113.2,52.9,0.0649865106171163,-0.79612816086458,1.44931798598415
"Productividad_laboral",7,106,0.521849056603774,1.54807086581026,0.423,0.458325581395349,1.0259592,-3.823,3.926,7.749,-0.0113602052081435,1.34447332713026,0.150361934588868
"exportaciones",8,106,1239485.17735849,309281.790272563,1253749.8,1229809.49883721,373346.03397,719416.5,2185346.8,1465930.3,0.275459486774134,-0.46735386530296,30040.1030376285
"importaciones",9,106,1179309.93301887,304865.579261319,1258615.55,1181125.67325581,286843.21806,557056.8,2225819.6,1668762.8,0.174685397107663,0.598127490236251,29611.1627055877
"Total.government.revenue",10,94,180858340425.532,39798921736.397,179752500000,179672347368.421,37061293500,1.05233e+11,2.73785e+11,1.68552e+11,0.308217179461829,-0.566876950023833,4104945345.71108
"Total.Government.expenditure",11,94,195217532978.723,36799149975.6182,192303500000,194358080263.158,32941889400,1.28069e+11,3.0412e+11,1.76051e+11,0.366874225637884,-0.21545854055962,3795542512.91164
"Deficit_Surplus",12,94,-14359192553.1915,16274778723.6216,-9728500000,-13219939473.6842,15152913300,-6.003e+10,1.2378e+10,7.2408e+10,-0.664242425424679,-0.549429559217062,1678615255.37039
"Deficit_Surplus_Pct",13,94,-9.14426403034496,10.5249939026276,-5.6841117979393,-8.15048268447803,8.75807027992093,-34.2100014247044,6.41227543048965,40.622276855194,-0.765649240883848,-0.708699851520516,1.08557023279143
"Deficit_Surplus_Pct_PIB",14,94,-3.73718044726348,4.2208582612841,-2.49341169731449,-3.44284790630952,3.91740647495078,-14.631114577494,3.38372379103906,18.014838368533,-0.630536975124259,-0.753402170573272,0.435348288813537
