"Country","Code","ContinentCode","Year","Month","GDP.billion.currency.units","Consumer.Price.Index..CPI."
"Italy","ITA","EU",1996,3,237.44,68
"Italy","ITA","EU",1996,6,259.33,68.7
"Italy","ITA","EU",1996,9,254.3,68.7
"Italy","ITA","EU",1996,12,283.87,69.2
"Italy","ITA","EU",1997,3,254.74,69.5
"Italy","ITA","EU",1997,6,273.15,69.8
"Italy","ITA","EU",1997,9,268.29,69.8
"Italy","ITA","EU",1997,12,300.04,70.4
"Italy","ITA","EU",1998,3,265.77,70.9
"Italy","ITA","EU",1998,6,284.35,71.2
"Italy","ITA","EU",1998,9,275.89,71.3
"Italy","ITA","EU",1998,12,308.59,71.5
"Italy","ITA","EU",1999,3,274.21,71.9
"Italy","ITA","EU",1999,6,292.62,72.2
"Italy","ITA","EU",1999,9,285.31,72.6
"Italy","ITA","EU",1999,12,323.02,73.1
"Italy","ITA","EU",2000,3,290.85,73.7
"Italy","ITA","EU",2000,6,309.76,74.2
"Italy","ITA","EU",2000,9,301.05,74.6
"Italy","ITA","EU",2000,12,339.86,75.1
"Italy","ITA","EU",2001,3,307.93,75.3
"Italy","ITA","EU",2001,6,325.93,76.3
"Italy","ITA","EU",2001,9,316.15,76.1
"Italy","ITA","EU",2001,12,354.13,76.8
"Italy","ITA","EU",2002,3,316.16,77.2
"Italy","ITA","EU",2002,6,337.57,78.1
"Italy","ITA","EU",2002,9,330.72,78.3
"Italy","ITA","EU",2002,12,365.81,79.1
"Italy","ITA","EU",2003,3,326.39,79.5
"Italy","ITA","EU",2003,6,347.76,80.3
"Italy","ITA","EU",2003,9,342.74,80.6
"Italy","ITA","EU",2003,12,377.79,81.1
"Italy","ITA","EU",2004,3,338.94,81.3
"Italy","ITA","EU",2004,6,365.33,82.2
"Italy","ITA","EU",2004,9,354.61,82.3
"Italy","ITA","EU",2004,12,393.44,83
"Italy","ITA","EU",2005,3,349,83.1
"Italy","ITA","EU",2005,6,374.09,84
"Italy","ITA","EU",2005,9,364.28,84.1
"Italy","ITA","EU",2005,12,406.26,84.7
"Italy","ITA","EU",2006,3,364.83,84.9
"Italy","ITA","EU",2006,6,388.84,86
"Italy","ITA","EU",2006,9,379.2,86.2
"Italy","ITA","EU",2006,12,419.82,86.5
"Italy","ITA","EU",2007,3,382.04,86.6
"Italy","ITA","EU",2007,6,403.12,87.7
"Italy","ITA","EU",2007,9,394.74,87.7
"Italy","ITA","EU",2007,12,434.94,88.9
"Italy","ITA","EU",2008,3,393.85,89.7
"Italy","ITA","EU",2008,6,415.96,91.2
"Italy","ITA","EU",2008,9,401.96,91.1
"Italy","ITA","EU",2008,12,425.92,91
"Italy","ITA","EU",2009,3,374.44,90.7
"Italy","ITA","EU",2009,6,392.68,91.7
"Italy","ITA","EU",2009,9,388.72,91.4
"Italy","ITA","EU",2009,12,421.41,92
"Italy","ITA","EU",2010,3,377.7,92
"Italy","ITA","EU",2010,6,403.57,93
"Italy","ITA","EU",2010,9,397.9,92.9
"Italy","ITA","EU",2010,12,432.1,93.9
"Italy","ITA","EU",2011,3,391.7,94.6
"Italy","ITA","EU",2011,6,414.77,95.8
"Italy","ITA","EU",2011,9,408.17,96.3
"Italy","ITA","EU",2011,12,434.12,97.4
"Italy","ITA","EU",2012,3,388.62,98.2
"Italy","ITA","EU",2012,6,406.63,99.3
"Italy","ITA","EU",2012,9,401.39,99.6
"Italy","ITA","EU",2012,12,427.72,99.9
"Italy","ITA","EU",2013,3,380.04,100
"Italy","ITA","EU",2013,6,402.84,100.5
"Italy","ITA","EU",2013,9,402.04,100.5
"Italy","ITA","EU",2013,12,427.83,100.5
"Italy","ITA","EU",2014,3,386.52,100.3
"Italy","ITA","EU",2014,6,405.71,100.8
"Italy","ITA","EU",2014,9,404.53,100.4
"Italy","ITA","EU",2014,12,430.64,100.5
"Italy","ITA","EU",2015,3,389.67,100.3
"Italy","ITA","EU",2015,6,412.55,101
"Italy","ITA","EU",2015,9,413.15,100.6
"Italy","ITA","EU",2015,12,439.98,100.6
"Italy","ITA","EU",2016,3,401.55,100.1
"Italy","ITA","EU",2016,6,424.05,100.8
"Italy","ITA","EU",2016,9,421.54,100.7
"Italy","ITA","EU",2016,12,448.65,101.1
"Italy","ITA","EU",2017,3,411.19,101.5
"Italy","ITA","EU",2017,6,432.58,102
"Italy","ITA","EU",2017,9,430.45,102
"Italy","ITA","EU",2017,12,462.38,102.1
"Italy","ITA","EU",2018,3,421.43,102.4
"Italy","ITA","EU",2018,6,442.1,103.4
"Italy","ITA","EU",2018,9,437.58,103.5
"Italy","ITA","EU",2018,12,470.28,103.3
"Italy","ITA","EU",2019,3,426.84,103.5
"Italy","ITA","EU",2019,6,446.17,104.2
"Italy","ITA","EU",2019,9,446.34,103.7
"Italy","ITA","EU",2019,12,477.28,103.8
"Italy","ITA","EU",2020,3,403.82,103.6
"Italy","ITA","EU",2020,6,370.52,103.8
"Italy","ITA","EU",2020,9,427.55,102.7
"Italy","ITA","EU",2020,12,455.08,103.5
"Italy","ITA","EU",2021,3,410.29,104.2
"Italy","ITA","EU",2021,6,437.87,105.2
"Italy","ITA","EU",2021,9,447.25,105.7
"Italy","ITA","EU",2021,12,480.03,107.8
"Italy","ITA","EU",2022,3,438.91,111.3
"Italy","ITA","EU",2022,6,469.44,114.1
